array_index,u_k_lambda,v_k_lambda
0,-0.039646,-0.020423
0,-0.039634,-0.020446
0,-0.039623,-0.020469
0,-0.039611,-0.020492
0,-0.039599,-0.020515
0,-0.039588,-0.020537
0,-0.039576,-0.020560
0,-0.039564,-0.020583
0,-0.039552,-0.020606
0,-0.039540,-0.020629
0,-0.039529,-0.020651
0,-0.039517,-0.020674
0,-0.039505,-0.020697
0,-0.039493,-0.020720
0,-0.039481,-0.020742
0,-0.039469,-0.020765
0,-0.039457,-0.020788
0,-0.039445,-0.020810
0,-0.039433,-0.020833
0,-0.039421,-0.020856
0,-0.039409,-0.020879
0,-0.039397,-0.020901
0,-0.039385,-0.020924
0,-0.039373,-0.020947
0,-0.039361,-0.020969
0,-0.039349,-0.020992
0,-0.039337,-0.021015
0,-0.039325,-0.021037
0,-0.039312,-0.021060
0,-0.039300,-0.021083
0,-0.039288,-0.021105
0,-0.039276,-0.021128
0,-0.039263,-0.021150
0,-0.039251,-0.021173
0,-0.039239,-0.021196
0,-0.039226,-0.021218
0,-0.039214,-0.021241
0,-0.039202,-0.021263
0,-0.039189,-0.021286
0,-0.039177,-0.021308
0,-0.039164,-0.021331
0,-0.039152,-0.021354
0,-0.039140,-0.021376
0,-0.039127,-0.021399
0,-0.050910,0.068591
0,-0.050950,0.068562
0,-0.050990,0.068532
0,-0.051030,0.068503
0,-0.051069,0.068474
0,-0.051109,0.068444
0,-0.051149,0.068415
0,-0.051188,0.068385
0,-0.051228,0.068356
0,-0.051267,0.068326
0,-0.051307,0.068297
0,-0.051346,0.068267
0,-0.051386,0.068238
0,-0.051425,0.068208
0,-0.051465,0.068178
0,-0.051504,0.068149
0,-0.051544,0.068119
0,-0.051583,0.068090
0,-0.051622,0.068060
0,-0.051661,0.068030
0,-0.051701,0.068000
0,-0.051740,0.067971
0,-0.051779,0.067941
0,-0.051818,0.067911
0,-0.051858,0.067881
0,-0.051897,0.067851
0,-0.051936,0.067821
0,-0.051975,0.067791
0,-0.052014,0.067761
0,-0.052053,0.067732
0,-0.052092,0.067702
0,-0.052131,0.067672
0,-0.052170,0.067642
0,-0.052209,0.067611
0,-0.052248,0.067581
0,-0.052286,0.067551
0,-0.052325,0.067521
0,-0.052364,0.067491
0,-0.052403,0.067461
0,-0.052442,0.067431
0,-0.052480,0.067401
0,-0.052519,0.067370
0,-0.052558,0.067340
0,-0.052596,0.067310
0,0.001237,-0.044025
0,0.001262,-0.044024
0,0.001288,-0.044024
0,0.001313,-0.044023
0,0.001339,-0.044022
0,0.001364,-0.044021
0,0.001389,-0.044021
0,0.001415,-0.044020
0,0.001440,-0.044019
0,0.001466,-0.044018
0,0.001491,-0.044017
0,0.001516,-0.044016
0,0.001542,-0.044016
0,0.001567,-0.044015
0,0.001593,-0.044014
0,0.001618,-0.044013
0,0.001643,-0.044012
0,0.001669,-0.044011
0,0.001694,-0.044010
0,0.001720,-0.044009
0,0.001745,-0.044008
0,0.001770,-0.044007
0,0.001796,-0.044006
0,0.001821,-0.044005
0,0.001847,-0.044004
0,0.001872,-0.044003
0,0.001897,-0.044002
0,0.001923,-0.044001
0,0.001948,-0.043999
0,0.001974,-0.043998
0,0.001999,-0.043997
0,0.002024,-0.043996
0,0.002050,-0.043995
0,0.002075,-0.043994
0,0.002100,-0.043992
0,0.002126,-0.043991
0,0.002151,-0.043990
0,0.002177,-0.043989
0,0.002202,-0.043987
0,0.002227,-0.043986
0,0.002253,-0.043985
0,0.002278,-0.043984
0,0.002303,-0.043982
0,0.002329,-0.043981
0,-0.005646,-0.028556
0,-0.005630,-0.028559
0,-0.005613,-0.028562
0,-0.005597,-0.028565
0,-0.005580,-0.028569
0,-0.005564,-0.028572
0,-0.005547,-0.028575
0,-0.005531,-0.028578
0,-0.005514,-0.028581
0,-0.005498,-0.028585
0,-0.005481,-0.028588
0,-0.005465,-0.028591
0,-0.005448,-0.028594
0,-0.005432,-0.028597
0,-0.005415,-0.028600
0,-0.005399,-0.028603
0,-0.005382,-0.028606
0,-0.005366,-0.028610
0,-0.005349,-0.028613
0,-0.005333,-0.028616
0,-0.005316,-0.028619
0,-0.005300,-0.028622
0,-0.005283,-0.028625
0,-0.005267,-0.028628
0,-0.005250,-0.028631
0,-0.005234,-0.028634
0,-0.005217,-0.028637
0,-0.005201,-0.028640
0,-0.005184,-0.028643
0,-0.005168,-0.028646
0,-0.005151,-0.028649
0,-0.005135,-0.028652
0,-0.005118,-0.028655
0,-0.005102,-0.028658
0,-0.005085,-0.028661
0,-0.005068,-0.028664
0,-0.005052,-0.028667
0,-0.005035,-0.028669
0,-0.005019,-0.028672
0,-0.005002,-0.028675
0,-0.004986,-0.028678
0,-0.004969,-0.028681
0,-0.004952,-0.028684
0,-0.004936,-0.028687
0,0.061018,0.014208
0,0.061010,0.014243
0,0.061002,0.014278
0,0.060994,0.014313
0,0.060986,0.014348
0,0.060978,0.014383
0,0.060970,0.014419
0,0.060962,0.014454
0,0.060954,0.014489
0,0.060946,0.014524
0,0.060937,0.014559
0,0.060929,0.014594
0,0.060921,0.014629
0,0.060912,0.014664
0,0.060904,0.014699
0,0.060896,0.014734
0,0.060887,0.014769
0,0.060879,0.014804
0,0.060870,0.014839
0,0.060862,0.014875
0,0.060853,0.014910
0,0.060844,0.014945
0,0.060836,0.014980
0,0.060827,0.015015
0,0.060818,0.015050
0,0.060810,0.015085
0,0.060801,0.015120
0,0.060792,0.015155
0,0.060783,0.015190
0,0.060774,0.015225
0,0.060766,0.015260
0,0.060757,0.015295
0,0.060748,0.015330
0,0.060739,0.015365
